0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00, -0.03, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.03,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.02,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.03,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.06, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.05,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.03,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.05,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.02, -0.03,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.05,  0.00,  0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00, -0.03, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	-0.02, -0.03,  0.00,  0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	-0.02,  0.00,  0.00,  0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.02,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00,  0.03, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.05,  0.00,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00, -0.02, -0.02,  0.00, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
0,0,0,0,8,8,8,8,-2.14, -1.72, -1.64, -1.97, 	 0.00,  0.00,  0.00, -0.02, 	0.00, 0.00, 0.00, 0.00, 	1.35,1.04, 0.00,0.00, 0.00,0.00,0.00,0.00
