7.46	15.75, 15.75, 48.26, 36.55
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.63, 7.49	15.75, 15.75, 48.60, 36.84
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.62, 7.49	15.75, 15.75, 48.58, 36.83
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	-0.02,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.62, 0.47, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.60, 7.48	15.75, 15.75, 48.55, 36.81
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.61, 7.48	15.75, 15.75, 48.56, 36.82
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.60, 7.47	15.75, 15.75, 48.56, 36.82
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.59, 7.47	15.75, 15.75, 48.55, 36.81
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.62, 0.47, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.57, 7.46	15.75, 15.75, 48.51, 36.79
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.57, 7.43	15.75, 15.75, 48.50, 36.81
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.56, 7.45	15.75, 15.75, 48.50, 36.78
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.51, 7.47	15.75, 15.75, 48.45, 36.72
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.53, 7.45	15.75, 15.75, 48.46, 36.75
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.06,  0.00,  0.00, 	0.20, 0.20, 0.62, 0.47, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,-0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.51, 7.45	15.75, 15.75, 48.44, 36.74
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.50, 7.44	15.75, 15.75, 48.42, 36.73
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.49, 7.44	15.75, 15.75, 48.41, 36.72
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.49, 7.43	15.75, 15.75, 48.41, 36.72
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.49, 7.41	15.75, 15.75, 48.40, 36.74
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.03,  0.00, -0.02, 	0.20, 0.20, 0.61, 0.47, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.45, 7.39	15.75, 15.75, 48.35, 36.71
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.43, 7.39	15.75, 15.75, 48.32, 36.68
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.41, 7.37	15.75, 15.75, 48.29, 36.67
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.40, 7.37	15.75, 15.75, 48.27, 36.66
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	-0.03,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.61, 0.47, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.37, 7.36	15.75, 15.75, 48.23, 36.63
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.37, 7.35	15.75, 15.75, 48.22, 36.63
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.35, 7.36	15.75, 15.75, 48.21, 36.61
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.35, 7.35	15.75, 15.75, 48.20, 36.62
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.34, 7.35	15.75, 15.75, 48.19, 36.61
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.28, 7.33	15.75, 15.75, 48.12, 36.56
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.27, 7.32	15.75, 15.75, 48.10, 36.55
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.29, 7.32	15.75, 15.75, 48.11, 36.57
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.28, 7.32	15.75, 15.75, 48.10, 36.56
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.24, 7.30	15.75, 15.75, 48.05, 36.53
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.24, 7.29	15.75, 15.75, 48.04, 36.53
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.23, 7.28	15.75, 15.75, 48.03, 36.53
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.21, 7.27	15.75, 15.75, 48.00, 36.52
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.18, 7.28	15.75, 15.75, 47.97, 36.47
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00, -0.05,  0.00,  0.02, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,-0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.16, 7.27	15.75, 15.75, 47.95, 36.46
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.16, 7.28	15.75, 15.75, 47.95, 36.45
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.16, 7.27	15.75, 15.75, 47.94, 36.45
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.16, 7.27	15.75, 15.75, 47.94, 36.45
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.17, 7.27	15.75, 15.75, 47.96, 36.47
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.05,  0.02,  0.00, -0.02, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.15, 7.25	15.75, 15.75, 47.92, 36.45
